Designator,Mid X,Mid Y,Rotation,Layer
C1,147.915577,-93.98,180.0,top
C2,155.273085,-99.163855,0.0,top
C3,147.895248,-90.569535,180.0,top
C4,155.269198,-94.582663,0.0,top
C5,147.872896,-86.753738,180.0,top
C6,155.256164,-89.824759,0.0,top
J2,151.686,-101.6,0.0,top
R1,147.90532,-98.806,180.0,top
U1,151.5925,-97.536,0.0,top
U2,151.584143,-92.712353,0.0,top
U3,151.585165,-88.138,0.0,top
